"","ObjectID","Loc_name","Shape","Status","Score","Match_type","Match_addr","LongLabel","ShortLabel","Addr_type","Type","PlaceName","Place_addr","Phone","URL","Rank","AddBldg","AddNum","AddNumFrom","AddNumTo","AddRange","Side","StPreDir","StPreType","StName","StType","StDir","BldgType","BldgName","LevelType","LevelName","UnitType","UnitName","SubAddr","StAddr","Block","Sector","Nbrhd","District","City","MetroArea","Subregion","Region","RegionAbbr","Territory","Zone","Postal","PostalExt","Country","LangCode","Distance","X","Y","DisplayX","DisplayY","Xmin","Xmax","Ymin","Ymax","ARC_Address","ARC_Address2","ARC_Address3","ARC_Neighborhood","ARC_City","ARC_Subregion","ARC_Region","ARC_Postal","ARC_PostalExt","ARC_CountryCode","ENTITY","GEOGRAPHY","INVESTMENTS","ASSIGNMENTS","ARCHSTONE","RMPROPID","PROPNAME","ENTTYPE","PROPTYPE","REGION_1","MARKETID","MARKET","SUBMARKETID","SUBMARKET","SVPID","SVP","SVP2","SVP_EMAIL","VPPMID","VPPM_EMPLID","VPPM","VPPM2","VPPM_EMAIL","RMMNGRID","RM_EMPLID","RM","RM2","RM_EMAIL","IO","SIO","FACSM","FINSM","REVMGR","ACQUISITION_DATE","ADDRESS","CITY_1","STATE","ZIP","YOC","CONSTTYPE","STATUS_1","STATUSID","CONSOLIDATION","CONSOLIDATIONID","UNITS","SQFT","STUDIO","ONEBR","TWOBR","THREEBR","OTHER","OCCINCL","DASHINCL","HOTLIST","WATCHLIST","REHABLIST","LEASUPLIST","DISPOLIST","INACTIVE","LRO","COMLINK","COMPLIANTEMAIL","ASNPROPID","MASTERENTITYID","LSHLDTHRESHOLD","MRTHRESHOLD","BISTATUS","BISTATUS_DESC","BIASSETTYPE","BIASSETTYPE_DESC","PHONE_1","YEARBUILT","CONSTRUCTIONDATE","DISPOSED","LATITUDE","LONGITUDE","OccUnits","NonRevUnits","AffordableUnits","AdultResidents","CITY","Walkscore","TransitScore"
"1",1,"",NA,"U",0,"A","","","","","","","",NA,NA,0,NA,NA,NA,NA,"","","",NA,"","","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","","","","",NA,"",NA,NA,"","",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENTITY",NA,NA,NA,"ASN NO",11200,"ZI CENTRAL SVC - MAINT.- ATLNT","INA","Residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-07-25,NA,NA,"",NA,NA,"Other","Disposition","DSP     ","REIT - CS",12,1,NA,0,1,2,3,0,"N","N","N","WATCH LIST NO","REHAB NO","LEASEUP NO","N",NA,"N","N","N",NA,11200,NA,NA,"DSP       ","Disposition                             ","RC        ","Residential Consolidated                ",NA,NA,NA,2010-01-01,NA,NA,NA,NA,NA,NA,"",4,NA
"2",2,"World","E6100000010C98FA0647A53558C02821EB255D824040","M",100,"A","6404 International Pkwy, Plano, Texas, 75093","6404 International Pkwy, Plano, TX, 75093, USA","6404 International Pkwy","PointAddress","","","6404 International Pkwy, Plano, Texas, 75093",NA,NA,20,NA,6404,NA,NA,"","L","",NA,"International","Pkwy","",NA,NA,NA,NA,NA,NA,NA,"6404 International Pkwy",NA,NA,"",NA,"Plano","Dallas-Fort Worth Metroplex","Collin","Texas","TX",NA,"",75093,NA,"USA","ENG",0,-96.83821274,33.01846765,-96.83892,33.017463,-96.83992,-96.83792,33.016463,33.018463,"6404 INTERNATIONAL PKY",NA,NA,NA,"PLANO",NA,"TX",75093,NA,NA,"ENTITY",NA,NA,NA,"ASN NO",11400,"ZI CENTRAL SVC.- DALLAS       ","INA","Residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-07-24,"6404 INTERNATIONAL PKY","PLANO","TX",75093,NA,"Other","Disposition","DSP     ","REIT - CS",12,1,NA,0,1,2,3,0,"N","N","N","WATCH LIST NO","REHAB NO","LEASEUP NO","N",NA,"N","N","N",NA,11400,NA,NA,"DSP       ","Disposition                             ","RC        ","Residential Consolidated                ",NA,NA,NA,2010-01-01,NA,NA,NA,NA,NA,NA,"Plano",27,27
"3",3,"World","E6100000010C6CFC3F3D6CA458C0C02A78C02B843D40","M",85,"A","78229, San Antonio, Texas","78229, San Antonio, TX, USA","78229","Postal","","78229","San Antonio, Texas, 78229",NA,NA,4.5,NA,NA,NA,NA,"","","",NA,"","","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"San Antonio","","Bexar","Texas","TX",NA,"",78229,NA,"USA","ENG",0,-98.5691064,29.5162926,-98.5691064,29.5162926,-98.6021064,-98.5361064,29.4832926,29.5492926,"EQUITY RESIDENTIAL",NA,NA,NA,"SAN ANTONIO",NA,"TX",78229,NA,NA,"ENTITY",NA,NA,NA,"ASN NO",11401,"ZI CENTRAL SVC ADMIN - HOUSTON","INA","Residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-07-24,"EQUITY RESIDENTIAL","SAN ANTONIO","TX",78229,NA,"Other","Disposition","DSP     ","REIT - CS",12,0,NA,0,1,2,3,0,"N","N","N","WATCH LIST NO","REHAB NO","LEASEUP NO","N",NA,"N","N","N",NA,11401,NA,NA,"DSP       ","Disposition                             ","RC        ","Residential Consolidated                ",NA,NA,NA,2008-12-31,NA,NA,NA,NA,NA,NA,"San Antonio",55,52
"4",4,"World","E6100000010C94B795F15EDB57C0109C5165ABF93D40","M",100,"A","211 Dominion Park Dr, Houston, Texas, 77090","211 Dominion Park Dr, Houston, TX, 77090, USA","211 Dominion Park Dr","PointAddress","","","211 Dominion Park Dr, Houston, Texas, 77090",NA,NA,20,NA,211,NA,NA,"","R","",NA,"Dominion Park","Dr","",NA,NA,NA,NA,NA,NA,NA,"211 Dominion Park Dr",NA,NA,"",NA,"Houston","Houston-Galveston Metro Area","Harris","Texas","TX",NA,"",77090,NA,"USA","ENG",0,-95.4276699,29.97527154,-95.4263205,29.974689,-95.4273205,-95.4253205,29.973689,29.975689,"211 DOMINION PARK DRIVE",NA,NA,NA,"HOUSTON",NA,"TX",77090,NA,NA,"ENTITY",NA,NA,NA,"ASN NO",11402,"ZI CENTRAL SVC-MAINT. HOUSTON ","INA","Residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-07-24,"211 DOMINION PARK DRIVE","HOUSTON","TX",77090,NA,"Other","Disposition","DSP     ","REIT - CS",12,0,NA,0,1,2,3,0,"N","N","N","WATCH LIST NO","REHAB NO","LEASEUP NO","N",NA,"N","N","N",NA,11402,NA,NA,"DSP       ","Disposition                             ","RC        ","Residential Consolidated                ","(281) 875-2258 ",NA,NA,2008-12-31,NA,NA,NA,NA,NA,NA,"Houston",30,37
"5",5,"World","E6100000010CECDB6E54771655C0482CAC65BCF64040","M",100,"A","9000 Central Park W, Atlanta, Georgia, 30328","9000 Central Park W, Atlanta, GA, 30328, USA","9000 Central Park W","PointAddress","","","9000 Central Park W, Atlanta, Georgia, 30328",NA,NA,20,NA,9000,NA,NA,"","L","",NA,"Central","Park","W",NA,NA,NA,NA,NA,NA,NA,"9000 Central Park W",NA,NA,"Perimeter Center",NA,"Atlanta","Atlanta Metro Area","Fulton","Georgia","GA",NA,"",30328,NA,"USA","ENG",0,-84.35103331,33.92762442,-84.351051,33.928227,-84.352051,-84.350051,33.927227,33.929227,"9000 CENTRAL PARK WEST",NA,NA,NA,"ATLANTA",NA,"GA",30328,NA,NA,"ENTITY",NA,NA,NA,"ASN NO",11501,"ZI CENTRAL SVC-GREATER ATLANTA","INA","Residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-07-25,"9000 CENTRAL PARK WEST","ATLANTA","GA",30328,NA,"Other","Disposition","DSP     ","REIT - CS",12,1,NA,0,1,2,3,0,"N","N","N","WATCH LIST NO","REHAB NO","LEASEUP NO","N",NA,"N","N","N",NA,11501,NA,NA,"DSP       ","Disposition                             ","RC        ","Residential Consolidated                ","(770) 394-0006 ",NA,NA,2010-01-01,NA,NA,NA,NA,NA,NA,"Atlanta",53,50
"6",6,"World","E6100000010CECDB6E54771655C0482CAC65BCF64040","M",100,"A","9000 Central Park W, Atlanta, Georgia, 30328","9000 Central Park W, Atlanta, GA, 30328, USA","9000 Central Park W","PointAddress","","","9000 Central Park W, Atlanta, Georgia, 30328",NA,NA,20,NA,9000,NA,NA,"","L","",NA,"Central","Park","W",NA,NA,NA,NA,NA,NA,NA,"9000 Central Park W",NA,NA,"Perimeter Center",NA,"Atlanta","Atlanta Metro Area","Fulton","Georgia","GA",NA,"",30328,NA,"USA","ENG",0,-84.35103331,33.92762442,-84.351051,33.928227,-84.352051,-84.350051,33.927227,33.929227,"9000 CENTRAL PARK WEST",NA,NA,NA,"ATLANTA",NA,"GA",30328,NA,NA,"ENTITY",NA,NA,NA,"ASN NO",11503,"ZI CENTRAL SVC-LNDSCPNG - ATL ","INA","Residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-07-25,"9000 CENTRAL PARK WEST","ATLANTA","GA",30328,NA,"Other","Disposition","DSP     ","REIT - CS",12,1,NA,0,1,2,3,0,"N","N","N","WATCH LIST NO","REHAB NO","LEASEUP NO","N",NA,"N","N","N",NA,11503,NA,NA,"DSP       ","Disposition                             ","RC        ","Residential Consolidated                ","(404) 728-1080 ",NA,NA,2010-01-01,NA,NA,NA,NA,NA,NA,"Atlanta",53,50
"7",7,"World","E6100000010C3008AC1C5A0654C060FBF72A432C3A40","M",85,"A","33308, Fort Lauderdale, Florida","33308, Fort Lauderdale, FL, USA","33308","Postal","","33308","Fort Lauderdale, Florida, 33308",NA,NA,4.5,NA,NA,NA,NA,"","","",NA,"","","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"Fort Lauderdale","","Broward","Florida","FL",NA,"",33308,NA,"USA","ENG",0,-80.09925,26.1728999,-80.09925,26.1728999,-80.13825,-80.06025,26.1338999,26.2118999,"EQUITY RESIDENTIAL PROPERTIES",NA,NA,NA,"FT. LAUDERDALE",NA,"FL",33308,NA,NA,"ENTITY",NA,NA,NA,"ASN NO",11511,"ZI CENTRAL SVC-TERMITE        ","INA","Residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-12-21,"EQUITY RESIDENTIAL PROPERTIES","FT. LAUDERDALE","FL",33308,NA,"Other","Disposition","DSP     ","REIT - CS",12,0,NA,0,1,2,3,0,"N","N","N","WATCH LIST NO","REHAB NO","LEASEUP NO","N",NA,"N","N","N",NA,11511,NA,NA,"DSP       ","Disposition                             ","RC        ","Residential Consolidated                ","(954) 491-6654 ",NA,NA,2008-12-31,NA,NA,NA,NA,NA,NA,"Fort Lauderdale",75,43
"8",8,"World","E6100000010CECDB6E54771655C0482CAC65BCF64040","M",100,"A","9000 Central Park W, Atlanta, Georgia, 30328","9000 Central Park W, Atlanta, GA, 30328, USA","9000 Central Park W","PointAddress","","","9000 Central Park W, Atlanta, Georgia, 30328",NA,NA,20,NA,9000,NA,NA,"","L","",NA,"Central","Park","W",NA,NA,NA,NA,NA,NA,NA,"9000 Central Park W",NA,NA,"Perimeter Center",NA,"Atlanta","Atlanta Metro Area","Fulton","Georgia","GA",NA,"",30328,NA,"USA","ENG",0,-84.35103331,33.92762442,-84.351051,33.928227,-84.352051,-84.350051,33.927227,33.929227,"9000 CENTRAL PARK WEST",NA,NA,NA,"ATLANTA",NA,"GA",30328,NA,NA,"ENTITY",NA,NA,NA,"ASN NO",11513,"ZI CENTRAL SVC - TERMITE - ATL","INA","Residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-03-08,"9000 CENTRAL PARK WEST","ATLANTA","GA",30328,NA,"Other","Disposition","DSP     ","REIT - CS",12,0,NA,0,1,2,3,0,"N","N","N","WATCH LIST NO","REHAB NO","LEASEUP NO","N",NA,"N","N","N",NA,11513,NA,NA,"DSP       ","Disposition                             ","RC        ","Residential Consolidated                ","(770) 394-0006 ",NA,NA,2008-12-31,NA,NA,NA,NA,NA,NA,"Atlanta",53,50
"9",9,"World","E6100000010CA8BEC09A8DB153C0B0245DC6DCE64140","M",100,"A","100 Northwoods Village Dr, Cary, North Carolina, 27513","100 Northwoods Village Dr, Cary, NC, 27513, USA","100 Northwoods Village Dr","StreetAddress","","","100 Northwoods Village Dr, Cary, North Carolina, 27513",NA,NA,20,NA,100,100,100,"100-100","R","",NA,"Northwoods Village","Dr","",NA,NA,NA,NA,NA,NA,NA,"100 Northwoods Village Dr",NA,NA,"",NA,"Cary","","Wake","North Carolina","NC",NA,"",27513,NA,"USA","ENG",0,-78.77426785,35.80361251,-78.77426785,35.80361251,-78.77526785,-78.77326785,35.80261251,35.80461251,"100 NORTHWOODS VILLAGE DR.",NA,NA,NA,"CARY",NA,"NC",27513,NA,NA,"ENTITY",NA,NA,NA,"ASN NO",11516,"ZI CENTRAL SVC MAINT. - RALEIG","INA","Residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-03-07,"100 NORTHWOODS VILLAGE DR.","CARY","NC",27513,NA,"Other","Disposition","DSP     ","REIT - CS",12,1,NA,0,1,2,3,0,"N","N","N","WATCH LIST NO","REHAB NO","LEASEUP NO","N",NA,"N","N","N",NA,11516,NA,NA,"DSP       ","Disposition                             ","RC        ","Residential Consolidated                ",NA,NA,NA,2010-01-01,NA,NA,NA,NA,NA,NA,"Cary",48,31
"10",10,"World","E6100000010CE0D448F7052F54C0A82FE9343A944140","M",100,"A","7504 E Independence Blvd, Charlotte, North Carolina, 28227","7504 E Independence Blvd, Charlotte, NC, 28227, USA","7504 E Independence Blvd","StreetAddress","","","7504 E Independence Blvd, Charlotte, North Carolina, 28227",NA,NA,20,NA,7504,7538,7500,"7500-7538","L","E",NA,"Independence","Blvd","",NA,NA,NA,NA,NA,NA,NA,"7504 E Independence Blvd",NA,NA,"East Forest",NA,"Charlotte","Charlotte Metro Area","Mecklenburg","North Carolina","NC",NA,"",28227,NA,"USA","ENG",0,-80.73473913,35.15802633,-80.73473913,35.15802633,-80.73573913,-80.73373913,35.15702633,35.15902633,"7504 E. INDEPENDENCE BLVD.",NA,NA,NA,"CHARLOTTE",NA,"NC",28227,NA,NA,"ENTITY",NA,NA,NA,"ASN NO",11517,"ZI CENTRAL SVC MAINT. - CHARLO","INA","Residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-03-07,"7504 E. INDEPENDENCE BLVD.","CHARLOTTE","NC",28227,NA,"Other","Disposition","DSP     ","REIT - CS",12,0,NA,0,1,2,3,0,"N","N","N","WATCH LIST NO","REHAB NO","LEASEUP NO","N",NA,"N","N","N",NA,11517,NA,NA,"DSP       ","Disposition                             ","RC        ","Residential Consolidated                ",NA,NA,NA,2008-12-31,NA,NA,NA,NA,NA,NA,"Charlotte",58,32
